defect_type,image_name,mask_name,height,width,defect_pixels,total_pixels,defect_area_ratio
glue_strip,012.png,012_mask.png,840,840,75590,705600,0.10712868480725624
glue_strip,013.png,013_mask.png,840,840,15094,705600,0.02139172335600907
glue_strip,014.png,014_mask.png,840,840,34489,705600,0.04887896825396825
glue_strip,015.png,015_mask.png,840,840,34142,705600,0.04838718820861678
glue_strip,016.png,016_mask.png,840,840,23970,705600,0.03397108843537415
glue_strip,017.png,017_mask.png,840,840,110862,705600,0.15711734693877552
gray_stroke,000.png,000_mask.png,840,840,12829,705600,0.018181689342403627
gray_stroke,001.png,001_mask.png,840,840,28917,705600,0.040982142857142856
gray_stroke,002.png,002_mask.png,840,840,17245,705600,0.02444019274376417
gray_stroke,003.png,003_mask.png,840,840,35496,705600,0.05030612244897959
gray_stroke,004.png,004_mask.png,840,840,35025,705600,0.049638605442176874
gray_stroke,005.png,005_mask.png,840,840,30099,705600,0.04265731292517007
gray_stroke,006.png,006_mask.png,840,840,33365,705600,0.0472859977324263
gray_stroke,007.png,007_mask.png,840,840,38976,705600,0.05523809523809524
gray_stroke,008.png,008_mask.png,840,840,18443,705600,0.026138038548752834
gray_stroke,009.png,009_mask.png,840,840,29798,705600,0.042230725623582765
gray_stroke,010.png,010_mask.png,840,840,43771,705600,0.062033730158730156
gray_stroke,011.png,011_mask.png,840,840,49025,705600,0.06947987528344671
gray_stroke,012.png,012_mask.png,840,840,18180,705600,0.02576530612244898
gray_stroke,013.png,013_mask.png,840,840,22027,705600,0.031217403628117913
gray_stroke,014.png,014_mask.png,840,840,49838,705600,0.07063208616780045
gray_stroke,015.png,015_mask.png,840,840,12732,705600,0.01804421768707483
oil,000.png,000_mask.png,840,840,156962,705600,0.22245181405895692
oil,001.png,001_mask.png,840,840,91043,705600,0.12902919501133786
oil,002.png,002_mask.png,840,840,128797,705600,0.18253543083900226
oil,003.png,003_mask.png,840,840,98092,705600,0.13901927437641723
oil,004.png,004_mask.png,840,840,92869,705600,0.13161706349206348
oil,005.png,005_mask.png,840,840,87198,705600,0.12357993197278912
oil,006.png,006_mask.png,840,840,99993,705600,0.14171343537414965
oil,007.png,007_mask.png,840,840,114748,705600,0.16262471655328797
oil,008.png,008_mask.png,840,840,96147,705600,0.1362627551020408
oil,009.png,009_mask.png,840,840,102913,705600,0.1458517573696145
oil,010.png,010_mask.png,840,840,91249,705600,0.12932114512471654
oil,011.png,011_mask.png,840,840,82389,705600,0.11676445578231293
oil,012.png,012_mask.png,840,840,88684,705600,0.1256859410430839
oil,013.png,013_mask.png,840,840,90625,705600,0.12843679138321995
oil,014.png,014_mask.png,840,840,116624,705600,0.16528344671201814
oil,015.png,015_mask.png,840,840,165837,705600,0.2350297619047619
oil,016.png,016_mask.png,840,840,153743,705600,0.21788973922902494
oil,017.png,017_mask.png,840,840,138472,705600,0.19624716553287982
rough,000.png,000_mask.png,840,840,28859,705600,0.0408999433106576
rough,001.png,001_mask.png,840,840,66556,705600,0.09432539682539683
rough,002.png,002_mask.png,840,840,87247,705600,0.12364937641723356
rough,003.png,003_mask.png,840,840,145623,705600,0.20638180272108844
rough,004.png,004_mask.png,840,840,233871,705600,0.3314498299319728
rough,005.png,005_mask.png,840,840,65759,705600,0.09319586167800453
rough,006.png,006_mask.png,840,840,57110,705600,0.08093820861678004
rough,007.png,007_mask.png,840,840,83541,705600,0.11839710884353742
rough,008.png,008_mask.png,840,840,109359,705600,0.15498724489795918
rough,009.png,009_mask.png,840,840,201585,705600,0.28569302721088435
rough,010.png,010_mask.png,840,840,85726,705600,0.1214937641723356
rough,011.png,011_mask.png,840,840,71653,705600,0.10154903628117914
rough,012.png,012_mask.png,840,840,147299,705600,0.20875708616780045
rough,013.png,013_mask.png,840,840,182803,705600,0.2590745464852608
rough,014.png,014_mask.png,840,840,95452,705600,0.13527777777777777
